CEP Inicial,CEP Final,Taxa,
74553420,74553460,"R$ 8,00",
74553470,74553470,"R$ 8,00",
74553480,74553507,"R$ 8,00",
74553510,74553530,"R$ 8,00",
74553540,74553540,"R$ 8,00",
74553550,74553560,"R$ 8,00",
74553570,74553570,"R$ 8,00",
74553580,74553590,"R$ 8,00",
74553600,74553610,"R$ 8,00",
74553615,74553615,"R$ 12,00",
74553620,74553620,"R$ 8,00",
74553625,74553632,"R$ 8,00",
74553649,74553660,"R$ 8,00",
74554010,74554030,"R$ 8,00",
74555010,74555492,"R$ 8,00",
74555500,74555550,"R$ 8,00",
74560020,74560450,"R$ 8,00",
74560454,74560455,"R$ 8,00",
74560454,74560455,"R$ 8,00",
74560460,74560460,"R$ 8,00",
74560465,74560630,"R$ 8,00",
74560465,74560630,"R$ 8,00",
74560650,74560650,"R$ 8,00",
74560660,74561959,"R$ 8,00",
74560660,74561959,"R$ 8,00",
74563010,74563280,"R$ 12,00",
74563290,74563430,"R$ 8,00",
74565020,74565100,"R$ 12,00",
74565120,74565135,"R$ 12,00",
74565140,74565205,"R$ 8,00",
74565210,74565690,"R$ 12,00",
74565691,74565704,"R$ 15,00",
74565801,74565804,"R$ 15,00",
74565900,74565971,"R$ 12,00",
74573150,74573190,"R$ 12,00",
74573350,74573380,"R$ 12,00",
74573390,74573390,"R$ 12,00",
74573400,74573400,"R$ 12,00",
74573406,74573410,"R$ 12,00",
74580440,74580491,"R$ 12,00",
74580755,74580845,"R$ 15,00",
74583030,74583200,"R$ 12,00",
74583220,74583260,"R$ 15,00",
74583285,74583290,"R$ 12,00",
74583330,74583360,"R$ 12,00",
74584000,74584120,"R$ 12,00",
74584200,74584240,"R$ 12,00",
74584300,74584320,"R$ 12,00",
74593220,74593220,"R$ 15,00",
74593240,74593275,"R$ 12,00",
74594076,74594099,"R$ 15,00",
74594100,74594135,"R$ 15,00",
74594450,74594452,"R$ 15,00",
74595300,74595323,"R$ 15,00",
74603010,74615320,"R$ 8,00",
74620010,74620010,"R$ 12,00",
74620010,74620010,"R$ 12,00",
74620050,74620070,"R$ 12,00",
74620050,74620070,"R$ 12,00",
74620090,74620100,"R$ 8,00",
74620170,74620170,"R$ 12,00",
74620170,74620170,"R$ 12,00",
74620180,74620190,"R$ 12,00",
74620180,74620190,"R$ 12,00",
74620210,74620220,"R$ 12,00",
74620210,74620220,"R$ 12,00",
74620230,74620330,"R$ 12,00",
74620230,74620330,"R$ 12,00",
74620360,74620375,"R$ 12,00",
74620360,74620375,"R$ 12,00",
74620387,74620387,"R$ 12,00",
74620387,74620387,"R$ 12,00",
74620400,74620400,"R$ 12,00",
74620400,74620400,"R$ 12,00",
